numero,client_reference,claim_number,liquidation_number,estado,disabled,fecha_creacion
1,202603560,3108199187,L-000000021,Liquidación,no,2026-07-28T15:25:35.934631+00:00
2,CHL-00000488,1970296,L-000001430,Liquidación,no,2026-08-25T12:44:54.129556+00:00
3,CHL-00000609,1022408,L-000001431,Liquidación,no,2026-08-25T12:44:59.703593+00:00
4,CHL-00000809,10845831,L-000001432,Liquidación,no,2026-08-25T12:45:05.220723+00:00
5,CHL-00000936,10850658,L-000001433,Liquidación,no,2026-08-25T12:45:10.756242+00:00
6,CHL-00000989,10851671,L-000001434,Liquidación,no,2026-08-25T12:45:16.265282+00:00
7,CHL-00000994,10854688,L-000001435,Liquidación,no,2026-08-25T12:45:21.865002+00:00
8,CHL-00001002,10853344,L-000001436,Liquidación,no,2026-08-25T12:45:27.374944+00:00
9,CHL-00001107,10851765,L-000001437,Liquidación,no,2026-08-25T12:45:32.860195+00:00
10,CHL-00001120,10852600,L-000001438,Liquidación,no,2026-08-25T12:45:38.292467+00:00
11,CHL-00001141,19008855,L-000001439,Liquidación,no,2026-08-25T12:45:43.884953+00:00
12,CHL-00001162,10855975,L-000001440,Liquidación,no,2026-08-25T12:45:49.346763+00:00
13,CHL-00001213,117000099,L-000001441,Liquidación,no,2026-08-25T12:45:54.76494+00:00
14,CHL-00001221,126263916,L-000001442,Liquidación,no,2026-08-25T12:46:00.288923+00:00
15,CHL-00001254,1981624,L-000001443,Liquidación,no,2026-08-25T12:46:05.061022+00:00
16,CHL-00001255,1981627,L-000001444,Liquidación,no,2026-08-25T12:46:10.517427+00:00
17,CHL-00001363,10862663,L-000001445,Liquidación,no,2026-08-25T12:46:19.59886+00:00
18,CHL-00001390,1022594,L-000001446,Liquidación,no,2026-08-25T12:46:25.106263+00:00
19,CHL-00001563,10868636,L-000001447,Liquidación,no,2026-08-25T12:46:30.60962+00:00
20,CHL-00001589,10873170,L-000001448,Liquidación,no,2026-08-25T12:46:35.321699+00:00
21,CHL-00001607,126269012,L-000001449,Liquidación,no,2026-08-25T12:46:48.139338+00:00
22,CHL-00001610,10869408,L-000001450,Liquidación,no,2026-08-25T12:46:53.431587+00:00
23,CHL-00001933,10887994,L-000001451,Liquidación,no,2026-08-25T12:47:01.69914+00:00
24,202603152,25444-2026,L-000001479,Liquidación,no,2026-08-25T13:05:09.505195+00:00
25,202603277,3108198755,L-000001484,Liquidación,no,2026-08-25T13:05:25.755382+00:00
26,202603832,2611020641,L-000001485,Liquidación,no,2026-08-25T13:05:28.48104+00:00
27,202603567,668615,L-000001488,Liquidación,no,2026-08-25T13:05:37.592382+00:00
28,202604033,10126000000483,L-000001492,Liquidación,no,2026-08-25T13:05:50.212123+00:00
29,202605825,226015414,L-000001493,Liquidación,no,2026-08-25T13:05:52.613658+00:00
30,202505148,1953968,L-000001495,Liquidación,no,2026-08-25T13:05:58.598499+00:00
31,202505322,19778-2025,L-000001496,Liquidación,no,2026-08-25T13:06:01.882915+00:00
32,202601852,126238196,L-000001497,Liquidación,no,2026-08-25T13:06:05.279409+00:00
33,202604260,13-528374,L-000001498,Liquidación,no,2026-08-25T13:06:08.602531+00:00
34,202601963,126239864,L-000001500,Liquidación,no,2026-08-25T13:06:15.153362+00:00
35,202604815,101194/01/2025/001,L-000001502,Liquidación,no,2026-08-25T13:06:20.965515+00:00
36,202606070,226015622,L-000001503,Liquidación,no,2026-08-25T13:06:23.329963+00:00
37,202602413,24776-2026,L-000001505,Liquidación,no,2026-08-25T13:06:29.035514+00:00
38,202602538,126250837,L-000001506,Liquidación,no,2026-08-25T13:06:32.412365+00:00
39,202604947,13-530629,L-000001507,Liquidación,no,2026-08-25T13:06:35.754767+00:00
40,202605025,453317,L-000001508,Liquidación,no,2026-08-25T13:06:39.052598+00:00
41,202602641,14-523832,L-000001509,Liquidación,no,2026-08-25T13:06:42.332397+00:00
42,202602661,10813466,L-000001510,Liquidación,no,2026-08-25T13:06:45.674849+00:00
43,202602699,449286,L-000001511,Liquidación,no,2026-08-25T13:06:48.979037+00:00
44,202605816,226015405,L-000001512,Liquidación,no,2026-08-25T13:06:52.3129+00:00
45,202605855,226015495,L-000001513,Liquidación,no,2026-08-25T13:06:54.800214+00:00
46,202602721,126253854,L-000001522,Liquidación,no,2026-08-25T13:07:21.298997+00:00
47,202602788,2611018206,L-000001523,Liquidación,no,2026-08-25T13:07:23.982598+00:00
48,202602804,13-524793,L-000001524,Liquidación,no,2026-08-25T13:07:27.225818+00:00
49,202602873,13026000000342,L-000001525,Liquidación,no,2026-08-25T13:07:30.547426+00:00
50,202603040,450252,L-000001526,Liquidación,no,2026-08-25T13:07:33.819756+00:00
51,202603045,10326000000136,L-000001527,Liquidación,no,2026-08-25T13:07:37.066388+00:00
52,202603054,13-529623,L-000001528,Liquidación,no,2026-08-25T13:07:40.286264+00:00
53,202602958,13-525472,L-000001529,Liquidación,no,2026-08-25T13:07:43.697127+00:00
54,202603072,10836098,L-000001530,Liquidación,no,2026-08-25T13:07:47.00767+00:00
55,202603157,25445-2026,L-000001532,Liquidación,no,2026-08-25T13:07:51.863413+00:00
56,202603244,226009361,L-000001533,Liquidación,no,2026-08-25T13:07:54.330917+00:00
57,202603436,2611020205,L-000001534,Liquidación,no,2026-08-25T13:07:56.747747+00:00
58,202603461,226009910,L-000001535,Liquidación,no,2026-08-25T13:07:59.136193+00:00
59,202603672,226010438,L-000001536,Liquidación,no,2026-08-25T13:08:01.492806+00:00
60,202603691,226010564,L-000001537,Liquidación,no,2026-08-25T13:08:03.92136+00:00
61,202603801,14-527813,L-000001538,Liquidación,no,2026-08-25T13:08:07.146768+00:00
62,202603822,2611020522,L-000001539,Liquidación,no,2026-08-25T13:08:09.539979+00:00
63,202603931,2611020798,L-000001540,Liquidación,no,2026-08-25T13:08:11.860906+00:00
64,202603992,90226190020652,L-000001541,Liquidación,no,2026-08-25T13:08:15.150356+00:00
65,202604126,101149/01/2025/002,L-000001542,Liquidación,no,2026-08-25T13:08:18.43767+00:00
66,202604139,226011734,L-000001543,Liquidación,no,2026-08-25T13:08:20.843642+00:00
67,202604145,01-528219,L-000001544,Liquidación,no,2026-08-25T13:08:24.146135+00:00
68,202604175,226011944,L-000001545,Liquidación,no,2026-08-25T13:08:27.435486+00:00
69,202604198,101185/01/2025/017,L-000001546,Liquidación,no,2026-08-25T13:08:30.715057+00:00
