client_reference,claim_number,liquidation_number,claim_id,gestiones_activas,gestiones_total,inspecciones_total,inspecciones_activas,prioridad,accion,motivo
202603472,25551-2026,L-000000002,396c45c4-ad37-47bb-a5c4-825f22126e2c,4,4,0,0,1,MANTENER,Gestiones activas
202603472,25551-2026,L-000000584,cb42a736-6141-40f4-b03b-bf7eef84ee00,0,0,0,0,2,DESACTIVAR,Sin actividad
202603479,90226080019640,L-000000003,668df776-3f76-4215-8d8d-d3e0b15ef16b,5,5,1,1,1,MANTENER,Inspeccion (prioridad max)
202603479,90226080019640,L-000000712,a0cf0c00-6cef-4d0a-8235-a305a4b01882,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202603557,2611020393,L-000000708,85120ce0-e502-4c39-ae18-c056bbb017a9,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
202603557,2611020393,L-000000713,f032da47-3894-40d8-a141-4aa4617aae13,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202603629,226010379,L-000000709,f222310c-58b2-4a9a-afaf-32f85138d7ac,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
202603629,226010379,L-000000714,3fc26240-468e-4e10-b915-0c053b282c35,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202604199,226012005,L-000000136,5448ee9b-7180-4675-abd1-ed18450bca26,1,1,0,0,1,MANTENER,Gestiones activas
202604199,226012005,L-000000556,0c6a1bcc-a52b-478d-ab42-3085b7831ec5,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202604282,226012224,L-000000069,d288d133-76ef-401e-a2e0-782852027ab3,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
202604282,226012224,L-000000983,3386f039-c3a9-4484-9c49-c0a599c47128,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202604282,226012224,L-000001101,25e76c62-f1fa-4de0-989f-cd6e903fbc63,1,1,0,0,3,DESACTIVAR,"Con gestiones, sin inspeccion"
202604448,226012437,L-000000270,26834fa6-b3eb-41fa-a88a-1919e45315a4,3,3,1,0,1,MANTENER,Inspeccion (prioridad max)
202604448,226012437,L-000000476,beac07aa-3104-4fe1-bf36-45c665cce8fe,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202604582,226012749,L-000000300,601da2cb-f3e1-41d9-aa30-dc967bb883bb,3,3,1,0,1,MANTENER,Inspeccion (prioridad max)
202604582,226012749,L-000000477,5501608c-a208-47f8-a393-504120c10c1f,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605122,13026000000500,L-000000660,b5b2d123-d379-41b2-afa1-edf3da9a7958,1,1,0,0,1,MANTENER,Gestiones activas
202605122,13026000000500,L-000000695,fd144b15-0dd3-427e-964d-cca466b3e005,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605123,13026000000501,L-000000661,3c45d105-a70a-4e06-bf35-538cecb50d16,1,1,0,0,1,MANTENER,Gestiones activas
202605123,13026000000501,L-000000696,f65822b4-3301-4b48-bd5f-f8449fc5559e,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605209,	 226014768,L-000000711,0d220a5c-e20d-45e3-bf1c-612a9249682e,4,4,2,0,1,MANTENER,Inspeccion (prioridad max)
202605209,226014768,L-000000718,e9b74f51-08b0-4e5a-b430-a9daa7c27ebc,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605284,226014869,L-000000961,14b888cd-44f8-430f-836f-1433796555f8,1,1,0,0,1,MANTENER,Gestiones activas
202605284,226014869,L-000001200,98284e10-6ec6-4b63-b7a4-3f212c27808c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605286,226014871,L-000000917,b882aca3-a893-476e-b0d1-546d7ac45382,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605286,226014871,L-000001255,ebc5c63d-38bb-4a9b-ae73-f3df10a25468,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605302,226014796,L-000000918,b221c982-1a26-4b94-8125-6c24dd1d9468,1,1,0,0,1,MANTENER,Gestiones activas
202605302,226014796,L-000001064,32914e11-f703-45e1-9d55-12c2e072d90c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605303,226014791,L-000000990,ac36314e-41d8-428a-8b94-d31de2655482,1,1,0,0,1,MANTENER,Gestiones activas
202605303,226014791,L-000001155,f479361a-4187-4955-9a68-3e1e23e74c1d,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605304,226014810,L-000000945,81edbef1-c2a2-4bd5-a075-2b05b43588b4,1,1,0,0,1,MANTENER,Gestiones activas
202605304,226014810,L-000001156,6b401f7b-937c-4a26-bf2f-dd90a2c5f137,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605307,226014781,L-000001003,cb2494c3-e920-41b6-a299-a717ed36eae0,1,1,0,0,1,MANTENER,Gestiones activas
202605307,226014781,L-000001157,fd7aed12-9226-4e30-85b5-0c9bb74a7f82,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605308,226014811,L-000001001,65364074-3236-4123-a1d6-4903c72e8681,1,1,0,0,1,MANTENER,Gestiones activas
202605308,226014811,L-000001104,20b30a24-b69d-4b59-9340-5afafc8fd425,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605309,226014804,L-000000963,963e594c-af6f-43b3-87f8-d7ff236818c9,1,1,0,0,1,MANTENER,Gestiones activas
202605309,226014804,L-000001201,e6425db8-82e2-4b85-9985-5ece24a5f0c2,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605359,226014925,L-000000927,fc0448ba-3f4a-4714-a011-2f8243a186a9,1,1,0,0,1,MANTENER,Gestiones activas
202605359,226014925,L-000001123,81ab7e08-c018-4f2a-916e-3db9f48f2964,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605360,226014926,L-000000935,0ad23031-d6db-4f80-9693-c44dcd6095c4,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605360,226014926,L-000001226,e0e834a8-dbf8-4952-9385-b4b845379c9c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605361,226014927,L-000000942,2653d77e-84df-4c87-952b-4a4d0c6b24cf,1,1,0,0,1,MANTENER,Gestiones activas
202605361,226014927,L-000001148,3ce20734-aff3-43db-91db-6717efd2d4df,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605365,226014931,L-000000913,bcc4e980-2df0-4dd6-a10d-2ab251e2dfdc,1,1,0,0,1,MANTENER,Gestiones activas
202605365,226014931,L-000001145,9d3cb76c-7086-4536-9991-21763c536bd1,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605366,226014932,L-000000932,889b340c-d4b0-4e4b-b169-d35768d5059f,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605366,226014932,L-000001219,2cab3533-ec3b-47c4-8768-dbf7b22ff735,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605368,226014933,L-000000979,7873ae94-3677-4d3a-a815-9c066a67dffc,1,1,0,0,1,MANTENER,Gestiones activas
202605368,226014933,L-000001251,c1fc10a2-e4fa-4852-bdfb-dbe095564416,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605369,226014935,L-000000910,338e4b8c-8018-4f48-96e9-74dd5b3b8d66,1,1,0,0,1,MANTENER,Gestiones activas
202605369,226014935,L-000001092,b227dd10-90df-4b59-911c-bf62476ef5a9,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605370,226014936,L-000000972,5aba286e-9ab6-40f5-831e-5ef19e429e40,1,1,0,0,1,MANTENER,Gestiones activas
202605370,226014936,L-000001192,112198c5-e077-45f6-ac6e-52442f354670,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605372,226014937,L-000000969,43c2b7d6-0292-4004-91cd-dbe3d4c085b8,1,1,0,0,1,MANTENER,Gestiones activas
202605372,226014937,L-000001180,120e53cf-5954-4fa4-ae94-2c20a00d3ab1,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605373,226014938,L-000000946,2a3300cb-873e-47b2-a207-832f136d828b,1,1,0,0,1,MANTENER,Gestiones activas
202605373,226014938,L-000001158,36b0b782-6cd6-4f1d-a788-d1662d961fe5,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605376,226014942,L-000000996,1578a82e-c9e7-4278-93f6-ced5e2a5354a,1,1,0,0,1,MANTENER,Gestiones activas
202605376,226014942,L-000001202,7efca1bc-2106-4feb-b5b8-b7f4d069b777,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605378,226014945,L-000000919,9b6ba9bf-cf3d-4c0f-bb44-4775913c3ecd,1,1,0,0,1,MANTENER,Gestiones activas
202605378,226014945,L-000001065,8c4451bf-9907-4037-a247-58e5cc7c52d4,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605379,226014947,L-000000928,add250fe-c164-4d8d-aafc-e1146925f815,1,1,0,0,1,MANTENER,Gestiones activas
202605379,226014947,L-000001278,6971224f-5a02-4bf0-97c8-43befca7bbd3,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605380,226014948,L-000000936,a3ae880f-3b07-46c8-ac15-e2a6ea41610d,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605380,226014948,L-000001227,4a843f93-f826-4445-a590-d27113dfdae9,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605381,226014951,L-000000929,9f0b4fe7-d0d7-4fe0-abeb-fcbd027ca314,1,1,0,0,1,MANTENER,Gestiones activas
202605381,226014951,L-000001125,22258311-a4f0-4ec9-9f61-b1594cbfe3f0,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605385,226014958,L-000000902,6a14a808-bf75-4cd0-a8ca-db75d947e876,1,1,0,0,1,MANTENER,Gestiones activas
202605385,226014958,L-000001105,40f96b41-aa81-46ea-bf8c-c9a756e4693e,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605386,226014960,L-000000920,1c9ff4d2-6745-4ea2-9f17-6db7951ad12d,1,1,0,0,1,MANTENER,Gestiones activas
202605386,226014960,L-000001066,5fcc1e89-9bd8-4d5f-8d86-07b4fce9c143,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605390,226014962,L-000000965,98ea0595-0f8a-46e8-b827-c2ca12fd62b8,1,1,0,0,1,MANTENER,Gestiones activas
202605390,226014962,L-000001203,4e3749b3-5b97-4c53-8e41-383d962f6077,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605395,226014967,L-000000947,a41f54e1-7521-44f3-89d1-ad6c86ab07cc,1,1,0,0,1,MANTENER,Gestiones activas
202605395,226014967,L-000001289,526af026-50ea-4167-9f15-f84520a0208c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605397,226014969,L-000000984,5ed5f826-f7e0-46f6-81d8-c332ad9b1a31,1,1,0,0,1,MANTENER,Gestiones activas
202605397,226014969,L-000001267,d5493cad-8a51-4817-9ea7-56fbfeb6b82f,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605398,226014970,L-000000930,b14bcf94-84bc-4f5d-9b9b-ae686b0d148c,1,1,0,0,1,MANTENER,Gestiones activas
202605398,226014970,L-000001126,e06b38aa-fa97-42fd-89eb-89158c2f7a0f,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605402,226014976,L-000000995,e76f7851-98ba-41ff-ac58-ae90b7c87194,1,1,0,0,1,MANTENER,Gestiones activas
202605402,226014976,L-000001129,9bd00922-b554-4b0e-a059-c6c46abb4bc0,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605403,226014975,L-000001000,cc692e70-1287-415e-8a48-aa3301e6c79a,1,1,0,0,1,MANTENER,Gestiones activas
202605403,226014975,L-000001242,c6c592e1-8e07-4054-9ccb-3d8ac951fc6f,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605406,226014979,L-000000914,d42db72f-7f67-4cd2-85d3-5b5275b8078c,1,1,0,0,1,MANTENER,Gestiones activas
202605406,226014979,L-000001146,755f1533-adc0-4c99-937b-fa0756c4146d,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605408,226014983,L-000000976,ef4f1a21-0394-4cab-ad82-7938f665128c,1,1,0,0,1,MANTENER,Gestiones activas
202605408,226014983,L-000001220,164d7e5f-b3e3-480c-9f65-70f2947c85ca,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605410,226014982,L-000000980,4a5c2f3f-9b7d-4b75-94a9-aa1927b5d8f1,1,1,0,0,1,MANTENER,Gestiones activas
202605410,226014982,L-000001252,4ea17185-55a0-4fee-bf81-ee7f55b43f41,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605411,226014984,L-000000987,e96b113e-4d59-4869-ac8b-e5e8e4c0f179,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
202605411,226014984,L-000001264,0e671c69-1c3a-4994-9ba5-0a03da22d94c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605412,226014986,L-000000915,c72c2fe4-37de-43e4-a064-6d0cd6cc7e6c,1,1,0,0,1,MANTENER,Gestiones activas
202605412,226014986,L-000001190,e49ec5a6-9e0e-4367-8cd7-981417c907df,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605413,226014987,L-000000904,172fcbae-8aee-4a62-8065-413069509632,1,1,0,0,1,MANTENER,Gestiones activas
202605413,226014987,L-000001290,251115c2-795b-4e50-a39e-28781062b309,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605415,226014989,L-000000903,4f089d5e-764f-4d1b-b265-2f876e8116f9,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605415,226014989,L-000001268,4c680e05-995a-4f4b-9574-d2adb6e3f3cd,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605416,226014990,L-000001160,e0775113-d37a-46ec-8dc2-17401d84f747,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
